D05113,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
ZINC03831805,CCN(CC)C(=O)CNC(C1CCCCC1)C(=O)N2CCCC2C(=O)NCC3=C(C=CC(=C3)Cl)Cl
ZINC84636068,COC1=CC=CC=C1C2=C3C4=CC(=C(C=C4CCN3C=N2)OC)OC
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC34689181,CCOC(=O)C(C1=CC=C(C=C1)OC2CCN(CC2)C(=N)C)OC3=CC4=C(CCN(C4)C(=N)N)C=C3
ZINC12358154,C1=CC(=C(C=C1OC2=CN=CC(=N2)Cl)C(=O)O)NC(=O)C3=C(C=C(C=C3)Cl)Cl
TRP,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
ZINC05307767,CCCCCC(=O)C(=O)C1=CC=CC=C1
ZINC26962103,CC1(COC(=O)CCCCCCCCCCCCCCCOC(=O)C2CCCCN2C(=O)C1=O)C
ZINC95592517,C1=CC=C2C(=C1)S(=O)(=O)N(S2(=O)=O)C3=C(C=C(C=C3)S(=O)(=O)N)Cl
ZINC13487963,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC5=C(C=C4)OCO5)C(=O)C6=CC=C(O6)C7=CC=C(C=C7)N
ZINC13826183,CC1=C(C2=C(C=C1)NC(=NC2=O)N)SC3=CC(=NC=C3)C(F)(F)F
D03845,CC(C)CNC1CCS(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N.Cl
5FU,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O)F
D04028,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
ZINC02366077,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N
ZINC96142649,C1=CC=C(C=C1)COC(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CCCCN)C(=O)CSCC(=O)O
ZINC26821670,CC1=NC(=O)C2=CC3=C(CCC3N(CC#C)C4=CC=C(C=C4)C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C=C2N1
ZINC36475459,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC4=CN=NC(=C4C=C3)C5=CC=CC=C5F
ZINC40422571,C1C2=C(C=C(C=C2)NC(=S)NC3=CC(=C(C=C3Cl)Cl)Cl)C(=O)O1
ZINC95596108,CC(C(C(=O)NCC1=CC=CC(=C1)C2=CC3=C(C=C2)C(=NC(=N3)Cl)N)N)O
FMP,C1=NC2=C(NN=C2C(=N1)N)C3C(C(C(O3)COP(=O)(O)O)O)O
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
ZINC49089438,CC(C)CC(C(=O)N)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CS
D00113,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
ZINC13673354,C1C(C(OC1N2C=CC(=O)NC2=O)CNC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)O
ZINC00778250,COC1=C(C=C(C=C1)C=C(C#N)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N)OC
D00655,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
ZINC40548113,C1C(C(OC1N2C=CC(=O)NC2=O)COC(=O)NS(=O)(=O)N)O
INO,C1=CN(C(=O)C=C1C(=O)O)O
D00136,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
ZINC14980125,C1=CC=C(C=C1)C(CCCCCC(=O)C2=NC=C(O2)C3=CC=CC=N3)O
ZINC42804942,CC(C#CCOC1=C(C=CC(=C1)COC2=CC=C(C=C2)C(F)(F)F)SC3=C4CCCCC4=C(C=C3)OCC(=O)O)O
ZINC96270006,C1C(C(CN1C(=O)N)S)NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3
ZINC39958417,C1CC2=C(C1)N(C(=O)NC2=O)CC(C(=O)O)N
ZINC13584998,C1=CC(=O)C=CC1=C2C(=C3N=C(C=C(N3N2)C(F)(F)F)C(F)(F)F)C4=CC=C(C=C4)O
D01454,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O.Cl
ZINC49046057,CCC(CC(C)C)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N
ZINC00192237,C1=CC=C2C(=C1)NC(=N2)SCC(=O)C3=CC(=C(C=C3)Cl)Cl
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
ZINC13476439,CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1
ZINC10450201,C(F)(F)(F)S(=O)(=O)NO
ZINC28757073,C1=CC=C(C=C1)CC(C(=O)C2=NC3=C(O2)C=CC(=C3)F)NC(=O)CN4C(=NC=C(C4=O)N)C5=CC=C(C=C5)F
D00417,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
ZINC01543873,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
D00454,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C
ZINC72123366,C1=CC=C(C=C1)CSC2=NC(=O)NC(=N2)SCC3=C(C=C(C=C3)C#N)F
D00208,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
ZINC26485121,COC(=O)C(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)N=NC3=CC=CC=C3
D01871,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.O.Cl
ZINC72112774,CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4
ANH,CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)NC(CC2=CC=CC(=C2)C(=N)N)C(=O)OC
ZINC13643764,CN1N=C(N=N1)C2=C(C(=O)NO2)CC(C(=O)O)N
ZINC13441737,C1CC(N(C1)C(=O)NC2=CC=CC=C2)C(=O)OCC3=CC=CC=C3
D00227,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
ZINC34015795,C1CCC(CC1)C(C(=O)NC2(CC3=CC=CC=C3C2)C(=O)NCC4=CC=C(C=C4)C(=N)N)NCC(=O)O
UDP,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
D00654,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
D02086,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
D04031,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC=C(C5=C4)[N+](=O)[O-])O
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
D00443,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
ZINC95576152,C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)N4C5=CC=CC=C5N=N4
ZINC28352876,CN1CCN(CC1)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N
ZINC26402419,C1CC(CCCC(C1)OC(=O)N2CCN(CC2)C(=O)NCCCCN)OC(=O)N3CCN(CC3)C(=O)NCCCCN
D01295,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
ZINC29548673,CCC1=C(C=CC(=C1)CC(C(=O)NCCCCC(=O)NC(CCSC)C(=O)O)NC(=O)C)N(C2=CC=CC=C2C(=O)O)C(=O)C(=O)O
D00329,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
D00623,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC.Cl
D02564,CN(CC#C)CC1=CC=CC=C1.Cl
D00501,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
ZINC26577391,CCCC(C(=O)C(=O)NC(C)CC)NC(=O)C1C2CCCC2CN1C(=O)C(C(C)(C)C)NC(=O)C(C(C)C)NC(=O)C3=NC=CN=C3
D00574,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
GRI,COC1=CC=C(C2=NC3=CC=CC(=C3N=C12)C(=O)O)CO
ZINC27523455,C1=CC(=CC=C1CC(=O)O)OCP(=O)(O)O
D00426,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
D00394,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
D00270,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
D00417,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
ZINC40430234,CC(C)CNC1=NC(=CC(=N1)NCC2=CC=CC3=CC=CC=C32)CCC4=CC=CC5=CC=CC=C54
ZINC03813615,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOCC2=CC=CC=C2)CC(=O)NO
ZINC19230109,C1CNCC2=CC=CC=C21
ZINC13676581,CC(C)(C)OC(=O)NC(CC1=CC(=CC=C1)Br)C(=O)NCC#N
ZINC45254233,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=CC=CC5=C4CCCC5
ZINC40420446,C1=CC(=CC=C1C2=C(NC3=C2C=C(C=C3)S(=O)(=O)N)C(=O)NN)F
ZINC96142695,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)N=C(C(=N4)C5=CC=CO5)C6=CC=CO6
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
BG6,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
SGC,C(C1C(C(C(C(O1)O)O)O)S)O
ZINC95562752,CN(CCC1=CC=CC=N1)C2=NC(=NC3=C2CN(CC3)C(=O)NC4=CC=CC=C4)C5=CC(=CC=C5)Br
D01198,COC1=C(C=C(C=C1)CNCC(COC2=CC3=C(C=C2)NC(=O)C=C3)O)OC
D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
ZINC14884937,CC(=C)C(CCC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C)O
ZINC40976206,CCC#CCOC1=C(C=CC(=C1)COC2CCOCC2)SC3=C4CCCCC4=C(C=C3)OCC(=O)O
D03252,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
ZINC27424830,CC(C)CN1C=CC=C2C1=NC(NC2=O)N
D00688,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O
D01196,CC(=O)NC1=NN=C(S1)S(=O)(=O)[NH-].[Na+]
ZINC27416367,CCC(C(=O)C(=O)NCC(OC)OC)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
D01425,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O
ZINC29470701,CCC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC1=CC=C(C=C1)CC(=O)O)NC(=O)C
D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
D00545,C(C(F)(F)F)(OC(F)F)Cl
ZINC15859809,C1=CC(=CC=C1C2=C(C(=O)N=C(N2)SCC(=O)NC3=CC=C(C=C3)Cl)C#N)Cl
ZINC14880083,CCCCCNC(=O)C(CC1=CC=C(C2=CC=CC=C12)N(C3=CC=CC=C3C(=O)O)C(=O)C(=O)O)NC(=O)C
D02451,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
ZINC13800438,C1=CC(=C(C=C1S(=O)(=O)N)Cl)NC(=O)CN
ZINC72114524,CCOC1=C(C=C(C=C1)C)C2=C(C=C3C(=C2)N=C(N=C3N)N)C
ZINC40974734,C1=CC(=CC=C1N2C=C(N=N2)CSC3C(C(C(C(O3)CO)O)O)O)S(=O)(=O)N
ZINC14956947,C1=CC(=CC(=C1)OC(F)F)C2=CC(=CC(=C3NC4=C(N3)C=C(C=C4)C(=N)N)C2=O)C(CC(=O)O)C(=O)O
PP6,CC(C)C1C(=O)NC(CC2=CC3=C(C=CC=C3CC(=O)N1)C=C2)P(=O)([O-])OC(CC4=CC=CC=C4)C(=O)OC
ZINC06041577,C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)F)C5=CC(=C(C=C5)O)F
ZINC95587314,C1CN(CCC1N)C2=C(C=C(C=C2)[N+](=O)[O-])NC(=O)C3=CC=CC=C3Cl
ZINC49679886,CCC(C)C(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)N
D00503,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
ZINC00779248,CCN1C(=NN=C1SCC(=O)NC2=CC(=CC=C2)OC)C3=CC=NC=C3
ZINC00458875,CC1=CC(=C(C(=C1)C)OCC(=O)N2CCOCC2)C
ZINC87722898,CC(=O)NC1C(C(C(OC1NC(=O)CCl)CO)O)O
D00493,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
D00454,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C
D03274,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)O)C(=O)O
BOG,CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
D02451,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
D00741,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl
D00356,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O
ZINC42805584,CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC(=C(C=C4)OCCN5CCCC5)F)CCC(C)(C)OC
ZINC01372718,COC1=CC=C(C=C1)C(=O)CN2N=C(N=N2)C3=CC=CC=C3NC(=O)C4CC4
ZINC95597106,CC(C(C(=O)NS(=O)(=O)C=CC1=CC=CC(=C1)C2=CC(=NC=N2)N)N)O
ZINC04503055,C1COCCN1C(=O)COC2=CC3=C(C=C2)OCO3
D02361,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C
ZINC95585235,C1=CC2=C(C=CS(=O)(=O)O2)C=C1O
ZINC43024719,CN1C=CC2=C1C=CC=C2N(C3=CC=CC=C3C(=O)O)C(=O)C(=O)O
ZINC43524372,CCCCCCCCCCCCCCCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)O)C(=O)O
D01603,C[NH2+]C(=NC)NCC1=CC=CC=C1.C[NH2+]C(=NC)NCC1=CC=CC=C1.[O-]S(=O)(=O)[O-]
ZINC26830934,CC1=CC(=C(C(=C1S(=O)(=O)NC(CC2=CC=CC(=C2)C(=N)N)C(=O)N3CCN(CC3)S(=O)(=O)C)C)C)OC
ZINC96270012,C1CC(C(C1)S)NS(=O)(=O)C2=CC=CC=C2
D02880,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
ZINC01996688,CC1=CC=C(C=C1)C2=CC(SC3=C2C=C4C=C(C=CC4=C3)C5=CC=C(C=C5)C(=O)O)(C)C
ZINC44181494,CC(C1CCC2C1(CCC3C2CCC4C3(CC(C(C4OC(=O)C)NC(=O)C5=CC=CC=C5)O)C)C)N(C)C
D02086,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
ZINC13779510,CNC(=O)C1CCCCNC(=O)CCC(NC(C(=O)N1)CCC2=CC=CC=C2)C(=O)O
D00965,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
ZINC13444367,C1CCC(C1)OC2=CC=CC(=C3NC4=C(N3)C=C(C(=C4)C(=N)N)F)C2=O
ZINC14971473,CC1=CC=CC(=C1)C(=O)NC(CC(C)C)C(=O)NCCNC2=CC=C(C=C2)F
D00930,CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C
ZINC13490373,C1CCC(CC1)(C(=O)NC2C(NC2=O)OC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4
D00379,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
ZINC34803408,CCCCCCCCC=CCCCCCCCC(=O)C1=NC2=C(O1)C=CC=N2
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
ZINC42989756,C1C2=CC(=CC(=C2OCO1)CN3C4=C(C=CC(=C4)C(F)(F)F)C(=NO)C3=O)F
ZINC03818667,CC(C(C(=O)NO)NC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)Br)O
D03736,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
ZINC27095132,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)C(=O)N)NC(=O)OCC2=CC=CC=C2
ZINC16492571,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)S(=O)(=O)N)C5=CC=CC=C5
D04028,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
ZINC40936429,CS(=O)(=O)C1=NN=C(S1)NS(=O)(=O)N
ZINC72106651,C1=CSC(=C1CN2C(=O)C3=CSC=C3N(C2=O)CC(C(=O)O)N)P(=O)(O)O
ZINC26282536,C1CCCC(CC1)OC(=CN2C=NC=N2)C3=C(C=CC=C3Cl)Cl
D01871,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.O.Cl
ZINC40954383,CC(C)CNC1=NC(=NC(=C1)CCC2=CC=CC=C2)N(C)CC(C)C
D02725,CS(=O)(=O)NC(=O)CCCC=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC14955064,CC1=CSC(=C1OCC(=O)O)C(=O)O
DOR,C1C(NC(=O)NC1=O)C(=O)O
D00691,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
ZINC79845833,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N3C=C(N=N3)C4=CC=C(C=C4)Cl
ZINC00068301,C1=CSC(=C1)CC(=O)NCC2=CC=C(C=C2)S(=O)(=O)N
ZINC12398426,C1=CC=C(C=C1)CNS(=O)(=O)N
ZINC49032605,C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)C(F)(F)P(=O)(O)O)C(F)(F)F
D02042,CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2.O.Cl
ZINC28820435,CC#CCOC1=CC=C(C=C1)S(=O)(=O)N2CCCC(C2)S
ZINC45284641,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC=CC=C3)NC4=CC=CC=C4F
D00545,C(C(F)(F)F)(OC(F)F)Cl
ZINC29338457,CC1=CN(C(=O)NC1=O)C2CC(C(O2)OCCC3=CC=CC=C3)O
ZINC05847664,CCC1=CC2=C(N1C(CC)CC)C=CC3=C2C(=NC(=N3)N)N
ZINC38264926,C(CC(=O)O)C(=O)NC1C(C(C(C(O1)CO)O)O)O
ZINC73295071,CC1=CC=C(C=C1)S(=O)(=O)OCCOC2=CC3=C(C=C2)C=CC(=O)O3
ZINC40835763,CC(C)CCC1=CC(=NC(=N1)N(C)CC(C)C)NCC(C)C
ZINC13475356,CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
ZINC05835550,CC(C)C(C(=O)O)N1C(=O)C(=CC2=CC=C(C=C2)Br)SC1=S
ZINC14951176,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
ZINC75602366,CC1=C(C(=NN1C2=CC=CC=C2)C=O)O
D00568,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
ZINC27101962,CC1=NC(=O)C2=C(N1)CCC3=C2C=C(C=C3)S(=O)(=O)N(C)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
D00043,CC(C)OP(=O)(OC(C)C)F
ZINC13539291,CCCC1=C(C(=CC(=C1OC(C2=CC=CC=C2)C(=O)O)Cl)C(=O)CC)O
ZINC06526283,C1=CC(=C(C=C1NC2=C(C3=NON=C3C=C2)[N+](=O)[O-])Cl)Cl
MAN,C(C1C(C(C(C(O1)O)O)O)O)O
ZINC27092603,CCOC(=O)C(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2
ZINC14956977,C1=CC2=C(C=C1C(=N)N)NC(=C3C=C(C=C(C3=O)C4=CC(=CC(=C4Cl)Cl)Cl)C(CC(=O)O)C(=O)O)N2
ZINC03813042,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
D00160,C(CCC(=O)O)CCN
D00410,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
D03670,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
ZINC16052165,CCCCCCCN(CCC1=CC=C(C=C1)OC(C)(CC)C(=O)O)C2=NC3=CC=CC=C3O2
ZINC40753037,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4)O
ZINC13804408,CC1=CC(=[N+](C(=C1)C)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=CC(=CC=C3)S(=O)(=O)N)C
ZINC13454917,CS(=O)(=O)NC1=CC2=C(C=C1)C(=C(N2)C(=O)O)CCC(=O)O
D01450,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl
ZINC27639120,CC(C(=O)O)NC(=O)C1=CC=C(C=C1)S(=O)(=O)N
ZINC16697102,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO
D00437,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
D03784,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.Cl
D02578,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
GAL,C(C1C(C(C(C(O1)O)O)O)O)O
ZINC05479931,CC(=NC1=CC=C(C=C1)Br)N
ZINC14970950,CN(C)CCOC1=CC=C(C=C1)C2=C3N=C(C=C(N3NC2=C4C=CC(=O)C=C4)C(F)(F)F)C(F)(F)F
D03758,C1CC2=CC=CC=C2N(C(=O)C1NC(CCCCN)C(=O)O)CC(=O)O
ZINC01811348,C=CCN1C(=O)C2=C(N=C1SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N)SC4=C2CCCC4
ZINC00249679,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)N=C(S3)N
ZINC34799821,COC1=CC=C(C=C1)C(=O)C(=O)N2C3CCCC2C(=O)N4C3C5=C(C=C(C=C5CC4)OC)OC
ZINC01108876,CC(C(=O)C1=CC=C(C=C1)OC)OC2=CC=CC(=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
D02731,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl.Cl
D00454,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C
D00300,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
ZINC84730287,CC(=O)N(CC(=O)NCC1C(C(C(C(O1)OC)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)C2CCCCCCCCCCC2
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC28818632,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)CNC(=S)NC4=C(C=C(C=C4)S(=O)(=O)N)Cl)C
ZINC72106651,C1=CSC(=C1CN2C(=O)C3=CSC=C3N(C2=O)CC(C(=O)O)N)P(=O)(O)O
ZINC00240941,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl
ZINC49109471,C1=CC(=CC=C1C(=O)NCC(F)(F)F)C(F)(F)P(=O)(O)O
D00234,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
ZINC68247237,CN1C=NC(=C1SC2=NC=C(C=C2)Cl)C3=CC=C(C=C3)C4CC4C(=O)N(C)C
S3P,C1C(C(C(C=C1C(=O)O)OP(=O)(O)O)O)O
ZINC14979806,C1=CC=C2C(=C1)C=CC=C2CCCCCCC(=O)C3=NC=C(O3)C4=CC=CC=N4
D01973,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4.Br
D00494,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
ZINC43524471,CCCCCCCCCCCCCCCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O
3PG,C(C(C(=O)O)O)OP(=O)(O)O
ZINC34803713,CCCCCCCCC=CCCCCCCCC(=O)C1=NC2=C(O1)C=NC=C2
D00132,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
ZINC00403009,CC(C)CC(C(=O)NO)N
ZINC00152965,C1=CC(=CC=C1NN)S(=O)(=O)N
ZINC05420122,CC(C)CC(CS)C(=O)O
ZINC13491444,CN(C1=CC=CC=C1C(=O)O)C(=O)C(=O)O
ZINC28826231,CCS(=O)(=O)N1CC(C(C1)NC(=O)C2=CC=C(S2)Cl)NC(=O)C3=CC=C(C=C3)N4C=CC=CC4=O
